SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500330,"RAYMOND LTD.",A,STK,421.55,425.2,417.8,422.05,422.05,421.5,1303,30701,12917131,
500331,"PIDILITE INDUSTRIES LTD.",A,STK,1332.65,1397.9,1326.1,1393.25,1397.9,1330.7,4224,653845,905348662,
500333,"PIX TRANSMISSIONS LTD.",B,STK,1518.45,1543.55,1508.7,1519.85,1524.55,1525.15,149,1196,1820677,
500335,"BIRLA CORPORATION LTD.",A,STK,985,987,969.5,975,987,968.1,239,3516,3440463,
500336,"SURYA ROSHNI LTD.",A,STK,236,242.5,236,239.45,239.45,238.6,424,17740,4264117,
500337,"PRIME SECURITIES LTD.",B,STK,281.3,290,281.3,288,288,281.25,6,24,6847,
500338,"PRISM JOHNSON LIMITED.",B,STK,123.45,126.65,123.45,124.9,126.65,124.3,284,14550,1816711,
500339,"RAIN INDUSTRIES LIMITED",A,STK,132.95,135.05,131.9,132.45,132.45,132.05,1677,125033,16661875,
500342,"PRUDENTIAL SUGAR CORPORATION L",B,STK,17.79,17.79,17.77,17.77,17.77,16.95,4,126,2241,
500343,"AMJ LAND HOLDINGS LIMITED",B,STK,43.8,44.9,43.2,44.31,44.9,42.93,8,301,13252,
500346,"PUNJAB COMMUNICATIONS LTD.",B,STK,50.6,52.97,50.01,50.52,50.52,51.45,23,521,26362,
500350,"RSWM LTD.",B,STK,157.4,162.45,157.05,161.3,160.05,154.4,113,1708,274858,
500354,"RAJSHREE SUGARS & CHEMICALS LT",B,STK,34.45,35.5,34.16,35.49,35.5,34.28,150,2581,90455,
500355,"RALLIS INDIA LTD.",A,STK,267.75,270.8,262,268.8,266.35,263.45,572,14117,3762071,
500356,"SHREE RAMA NEWSPRINT LTD.",B,STK,34.35,36,34.35,35.69,36,34.7,194,23477,833851,
500357,"RAMA PAPER MILLS LTD.",Z,STK,13.99,14.64,13.26,14.49,14.49,13.95,37,12103,165510,
500360,"RAPICUT CARBIDES LTD.",X,STK,194.9,198.95,194,196.1,196.1,189.05,183,18235,3573449,
